Program,URL
Decarbonizing Public Schools Program,https://energy.maryland.gov/Pages/SchoolDecarbonization.aspx
Commercial and Multi-family Electrification Program,https://energy.maryland.gov/Pages/BuildingIncentives.aspx
Higher Education Clean Energy Grant Pilot Program,https://energy.maryland.gov/Pages/HigherEducationCleanEnergy.aspx
Maryland Smart Energy Communities,https://energy.maryland.gov/Pages/Communities.aspx
"Commercial, Industrial, & Agricultural Grant Program",https://energy.maryland.gov/business/Pages/incentives/empowermdcigp.aspx
Resilient Maryland Program,https://energy.maryland.gov/Pages/resiliency.aspx
Maryland Offshore Wind Workforce Training & Education Program,https://energy.maryland.gov/Pages/Info/renewable/offshorewindworkforce.aspx
OPEN Innovation Energy Grant Program,https://energy.maryland.gov/Pages/OpenEnergyGrantProgram.aspx
Solar Energy Equity Grant Program,https://energy.maryland.gov/residential/Pages/incentives/LowIncomeSolarGrants.aspx
Community Solar LMI-PPA Grant Program,https://energy.maryland.gov/residential/Pages/CommunitySolarLMI-PPA.aspx
Energy Efficiency Equity Grant Program,https://energy.maryland.gov/Pages/EnergyEfficiency.aspx
Inflation Reduction Act HOME Energy Efficiency and Electrification Rebate Program,https://energy.maryland.gov/Pages/HOMESRebates.aspx
Maryland Solar Access Program,https://energy.maryland.gov/residential/Pages/incentives/Maryland-Solar-Access-Program.aspx
Residential Clean Energy Rebate Program,https://energy.maryland.gov/residential/Pages/incentives/default.aspx
Maryland Energy Storage Income Tax Credit,https://energy.maryland.gov/business/Pages/EnergyStorage.aspx
Electric Vehicle Supply Equipment Rebate Program,https://mva.maryland.gov/vehicles/Pages/27300-71T.aspx
Mechanical Insulation Grant Program,https://energy.maryland.gov/business/Pages/MechanicalInsulationProgram.aspx
Clean Energy Siting Grant/Feasibility Study,https://energy.maryland.gov/business/Pages/incentives.aspx
Solar Canopy and Dual Use Technology Grant Program,https://energy.maryland.gov/business/Pages/incentives/PVEVprogram.aspx
Maryland Commercial Solar Program,https://energy.maryland.gov/Pages/Info/renewable/solar.aspx
Maryland Offshore Wind Supply Chain Investment Program,https://energy.maryland.gov/Pages/Info/renewable/offshorewind.aspx
Energy Efficiency and Conservation Block Grant,https://energy.maryland.gov/Pages/EnergyEfficiencyandConservationBlockGrants.aspx
Electric Vehicle Supply Equipment Equity Program,https://energy.maryland.gov/transportation/Pages/incentives_evserebate.aspx
Electric School Bus Grant Program,https://energy.maryland.gov/transportation/Pages/incentives.aspx
Maryland SolarAPP+ Implementation Grant Program,https://energy.maryland.gov/govt/Pages/SolarAPP.aspx
Maryland RISE Program,https://energy.maryland.gov/business/Pages/Maryland-RISE.aspx